branch,current_method,comparator,metric,difference,ci_low,ci_high,bootstrap_resamples
xgboost,regret_constrained_medoid,rfecv_only,balanced_accuracy,-0.007374973319979494,-0.028659542759179216,0.014205682775926105,2000
xgboost,regret_constrained_medoid,rfecv_only,accuracy,-0.005091649694501044,-0.027494908350305436,0.01731160896130346,2000
xgboost,regret_constrained_medoid,rfecv_only,macro_f1,-0.00398248258912115,-0.02713931689235564,0.018804533342433653,2000
xgboost,regret_constrained_medoid,elastic_net_native,macro_ovr_auroc,-0.0070630996097803544,-0.017348044574044312,0.003653646546351442,2000
xgboost,regret_constrained_medoid,elastic_net_native,macro_auprc,-0.013794620318976603,-0.03293174545913269,0.005552568991830283,2000
xgboost,regret_constrained_medoid,elastic_net_native,balanced_accuracy,-0.011448670377241732,-0.032751575489407256,0.009149141655857828,2000
xgboost,regret_constrained_medoid,elastic_net_native,accuracy,-0.007128309572301483,-0.02851323828920571,0.013263747454175162,2000
xgboost,regret_constrained_medoid,elastic_net_native,macro_f1,-0.013532387492329656,-0.03594433069736506,0.00987596597770497,2000
xgboost,regret_constrained_medoid,elastic_net_matched,macro_ovr_auroc,-0.0016976358905227418,-0.014608085502773621,0.011090045571404947,2000
xgboost,regret_constrained_medoid,elastic_net_matched,macro_auprc,-0.006898213402895981,-0.027475375565862086,0.015661477364348135,2000
xgboost,regret_constrained_medoid,elastic_net_matched,balanced_accuracy,-0.0014925077030005784,-0.024924745240010787,0.02250195653482637,2000
xgboost,regret_constrained_medoid,elastic_net_matched,accuracy,0.009164969450101812,-0.01527494908350302,0.033604887983706755,2000
xgboost,regret_constrained_medoid,elastic_net_matched,macro_f1,-0.009825534972526473,-0.035367474026365746,0.015070225516984068,2000
xgboost,regret_constrained_medoid,stability_native,macro_ovr_auroc,0.0007542999389951177,-0.010237196880429617,0.011891714724053655,2000
xgboost,regret_constrained_medoid,stability_native,macro_auprc,0.0018137746851397685,-0.016843246526383405,0.021186760388673495,2000
xgboost,regret_constrained_medoid,stability_native,balanced_accuracy,0.0023128841238829745,-0.01932044106862377,0.024212221091171802,2000
xgboost,regret_constrained_medoid,stability_native,accuracy,0.010183299389002087,-0.012219959266802416,0.03261201629327895,2000
xgboost,regret_constrained_medoid,stability_native,macro_f1,-0.0006390060572376566,-0.023427650191380423,0.021998983237102962,2000
xgboost,regret_constrained_medoid,stability_matched,macro_ovr_auroc,-0.0015128785767564157,-0.01363994868025214,0.010495453116638059,2000
xgboost,regret_constrained_medoid,stability_matched,macro_auprc,-0.009719094268566986,-0.029084405309848533,0.011001235157960481,2000
xgboost,regret_constrained_medoid,stability_matched,balanced_accuracy,-0.01065073253758464,-0.03478679756295121,0.012674589948610098,2000
xgboost,regret_constrained_medoid,stability_matched,accuracy,-0.003054989816700715,-0.027494908350305547,0.02138492871690423,2000
xgboost,regret_constrained_medoid,stability_matched,macro_f1,-0.016687129869142225,-0.042531030303503234,0.009158198369020468,2000
xgboost,regret_constrained_medoid,random_bank_rep_01,macro_ovr_auroc,0.010636827787079195,-0.002102075110204926,0.024017597100205228,2000
xgboost,regret_constrained_medoid,random_bank_rep_01,macro_auprc,0.011951636371131502,-0.009462821703758225,0.034294944781126026,2000
xgboost,regret_constrained_medoid,random_bank_rep_01,balanced_accuracy,0.020250545914262785,-0.003771244821339603,0.04537293879740154,2000
xgboost,regret_constrained_medoid,random_bank_rep_01,accuracy,0.029531568228105876,0.005091649694501044,0.05397148676171071,2000
xgboost,regret_constrained_medoid,random_bank_rep_01,macro_f1,0.019101914398669706,-0.004735350341687644,0.04352332478949157,2000
