outer_repeat,outer_fold,branch,method,n_features,macro_ovr_auroc,macro_auprc,balanced_accuracy,accuracy,macro_f1
1,4,svm_l1,random_bank_rep_02,16,0.8151226834135381,0.6428100052159179,0.644314206533097,0.6122448979591837,0.6275396671826625
1,4,svm_l1,random_bank_rep_03,16,0.8378410095651475,0.701455766311038,0.6551837717504884,0.6224489795918368,0.6435874423679302
1,4,svm_l1,random_bank_rep_04,16,0.805995428858997,0.6399075763361263,0.6412362000817772,0.6020408163265306,0.6356421356421356
1,4,svm_l1,random_bank_rep_05,16,0.7948498128558099,0.6261761667253084,0.6520489755122438,0.6224489795918368,0.6347718189025632
1,4,xgboost,elastic_net_native,89,0.799453734671126,0.6482935851835331,0.6387715233292445,0.6122448979591837,0.6077859070153591
1,4,xgboost,elastic_net_matched,20,0.8004807386516533,0.6498013966194627,0.6617145972468311,0.6326530612244898,0.6482236761648527
1,4,xgboost,stability_native,55,0.7877301559010704,0.6155893930369727,0.6387715233292445,0.6122448979591837,0.6051747311827956
1,4,xgboost,stability_matched,20,0.8042766728523849,0.6466779335696764,0.66396347280905,0.6326530612244898,0.6557692307692308
1,4,xgboost,random_bank_rep_01,20,0.7623969607133907,0.5956267800104662,0.5903411930398438,0.5510204081632653,0.5695204493087558
1,4,xgboost,random_bank_rep_02,20,0.702669214549451,0.4824245713821834,0.5144630481961816,0.5102040816326531,0.4901656314699793
1,4,xgboost,random_bank_rep_03,20,0.7873911995051426,0.6202073213452804,0.6336036527190949,0.6020408163265306,0.6219114219114219
1,4,xgboost,random_bank_rep_04,20,0.7665362773158875,0.5880294734703722,0.5892962609604289,0.5510204081632653,0.5824175824175825
1,4,xgboost,random_bank_rep_05,20,0.7812444477062168,0.5906532196874572,0.6344895733951207,0.6020408163265306,0.6015397258277332
1,4,boruta_rf,elastic_net_native,57,0.8114465844001076,0.6596699617311095,0.632399709236291,0.6020408163265306,0.6135043414455179
1,4,boruta_rf,elastic_net_matched,17,0.811113184666408,0.6466589138936849,0.6172481940847758,0.5816326530612245,0.6002894954507857
1,4,boruta_rf,stability_native,25,0.8090074543148006,0.658353576177737,0.646563082095316,0.6122448979591837,0.6326469326469326
1,4,boruta_rf,stability_matched,17,0.8412358855537267,0.7160452687467129,0.6713802189814184,0.6428571428571429,0.6549769878574226
1,4,boruta_rf,random_bank_rep_01,17,0.8071769010599595,0.6576196151096431,0.6184521375675798,0.5816326530612245,0.6049360079210825
1,4,boruta_rf,random_bank_rep_02,17,0.7870584288275442,0.6204062812264832,0.6325587206396801,0.6020408163265306,0.6217111557596633
1,4,boruta_rf,random_bank_rep_03,17,0.8203674386582932,0.6718340641016738,0.6551837717504884,0.6224489795918368,0.6421507483962936
1,4,boruta_rf,random_bank_rep_04,17,0.7998398003795306,0.6228505271664339,0.6725841624642224,0.6428571428571429,0.663778409090909
1,4,boruta_rf,random_bank_rep_05,17,0.8479749985147287,0.7069121198606435,0.6453591386125119,0.6122448979591837,0.6243279569892474
1,5,svm_l1,elastic_net_native,82,0.8484748185347886,0.7061025261651963,0.6756621689155422,0.6530612244897959,0.6551618031693933
1,5,svm_l1,elastic_net_matched,12,0.7438642916304086,0.5780640181086323,0.536424969333515,0.4795918367346938,0.5381645114942528
1,5,svm_l1,stability_native,60,0.8563698220819661,0.7321839315433525,0.6746172368361274,0.6530612244897959,0.6553079053079054
1,5,svm_l1,stability_matched,12,0.792628406076682,0.6512149704908642,0.5905569942301576,0.5408163265306123,0.5905569942301576
1,5,svm_l1,random_bank_rep_01,12,0.8458159032371926,0.7111661610652102,0.7213893053473263,0.6938775510204082,0.710487117552335
1,5,svm_l1,random_bank_rep_02,12,0.873568041154248,0.7537358044838451,0.6532529189950479,0.6224489795918368,0.6480383292037061
1,5,svm_l1,random_bank_rep_03,12,0.8322819709026605,0.6853612555842534,0.6411794102948525,0.6122448979591837,0.6269051810865192
1,5,svm_l1,random_bank_rep_04,12,0.8743698081029415,0.7684710069772351,0.6953682249784199,0.6632653061224489,0.688722294654498
1,5,svm_l1,random_bank_rep_05,12,0.8556243618215573,0.7182288172390978,0.6697088518677724,0.6530612244897959,0.6716553544494721
