branch,method,metric,estimate,ci_low,ci_high,participants
boruta_rf,regret_constrained_medoid,macro_f1,0.6373786741694603,0.6103302503434126,0.6642938771281114,491
boruta_rf,elastic_net_native,macro_ovr_auroc,0.8384958338057745,0.8188674893513331,0.8570486406542807,491
boruta_rf,elastic_net_native,macro_auprc,0.6733247134153061,0.6491818342806164,0.7054139855122887,491
boruta_rf,elastic_net_native,balanced_accuracy,0.6566887495142868,0.626879265382742,0.6854764812200022,491
boruta_rf,elastic_net_native,accuracy,0.6303462321792261,0.5967413441955194,0.6639511201629328,491
boruta_rf,elastic_net_native,macro_f1,0.6510745439026393,0.6203941744584975,0.6786810578328143,491
boruta_rf,elastic_net_matched,macro_ovr_auroc,0.8386366343660308,0.8188569929329559,0.8567088920612441,491
boruta_rf,elastic_net_matched,macro_auprc,0.6738407968643165,0.6497678251830477,0.7058748666101557,491
boruta_rf,elastic_net_matched,balanced_accuracy,0.6628790615200223,0.6345261594179104,0.690899448476092,491
boruta_rf,elastic_net_matched,accuracy,0.6344195519348269,0.6008146639511202,0.6670061099796334,491
boruta_rf,elastic_net_matched,macro_f1,0.6583748570122896,0.6292622495910555,0.6861468057743277,491
boruta_rf,stability_native,macro_ovr_auroc,0.8343246930392049,0.8144930011201978,0.8523796803708594,491
boruta_rf,stability_native,macro_auprc,0.6692879525576096,0.6442307834022347,0.6997699530748107,491
boruta_rf,stability_native,balanced_accuracy,0.6582084161098067,0.6294859102128382,0.6856773304655732,491
boruta_rf,stability_native,accuracy,0.6293279022403259,0.5957230142566192,0.6608961303462322,491
boruta_rf,stability_native,macro_f1,0.6533711318436817,0.6238375214486327,0.6816341041766468,491
boruta_rf,stability_matched,macro_ovr_auroc,0.8405419039252013,0.8209870479953467,0.8597833110291557,491
boruta_rf,stability_matched,macro_auprc,0.6788638761051475,0.6538214749754622,0.7114566438051019,491
boruta_rf,stability_matched,balanced_accuracy,0.669616929635893,0.6414985346511896,0.6975787265831512,491
boruta_rf,stability_matched,accuracy,0.6446028513238289,0.61300916496945,0.6761710794297352,491
boruta_rf,stability_matched,macro_f1,0.6630197277892347,0.633493184810471,0.6915997239764042,491
boruta_rf,random_bank_rep_01,macro_ovr_auroc,0.8304588402350346,0.8106670082242329,0.8488761484342832,491
boruta_rf,random_bank_rep_01,macro_auprc,0.6691383275283103,0.6440908247054289,0.7007874252871661,491
boruta_rf,random_bank_rep_01,balanced_accuracy,0.640025092901199,0.6122118557801238,0.6674911237624576,491
boruta_rf,random_bank_rep_01,accuracy,0.6079429735234216,0.575356415478615,0.6395366598778003,491
boruta_rf,random_bank_rep_01,macro_f1,0.6361496425604877,0.6071892953558224,0.6633030586814501,491
boruta_rf,random_bank_rep_02,macro_ovr_auroc,0.8305258302047225,0.811253562127059,0.8482731325665687,491
boruta_rf,random_bank_rep_02,macro_auprc,0.6670680925282393,0.6429107319445072,0.6964761252389563,491
boruta_rf,random_bank_rep_02,balanced_accuracy,0.645852282988819,0.6177387896027277,0.6720790679505914,491
boruta_rf,random_bank_rep_02,accuracy,0.6160896130346232,0.5824847250509165,0.6466649694501017,491
boruta_rf,random_bank_rep_02,macro_f1,0.6414999560440463,0.6143343201216982,0.6684698588118152,491
boruta_rf,random_bank_rep_03,macro_ovr_auroc,0.8386150693211456,0.8175708837625095,0.8580709872081892,491
boruta_rf,random_bank_rep_03,macro_auprc,0.6742510041731973,0.6485847075948208,0.7080243463423734,491
boruta_rf,random_bank_rep_03,balanced_accuracy,0.6743499652475633,0.6464077165459908,0.7013371444716261,491
boruta_rf,random_bank_rep_03,accuracy,0.6456211812627292,0.6130346232179227,0.6771894093686355,491
boruta_rf,random_bank_rep_03,macro_f1,0.6707794896912274,0.6421298538004344,0.6980337899682826,491
boruta_rf,random_bank_rep_04,macro_ovr_auroc,0.8320057814534676,0.8122692140174055,0.850494916569216,491
boruta_rf,random_bank_rep_04,macro_auprc,0.6614661104947711,0.6375966142638272,0.6939952269818723,491
boruta_rf,random_bank_rep_04,balanced_accuracy,0.6541901314025208,0.6256907628296694,0.6826139681536332,491
boruta_rf,random_bank_rep_04,accuracy,0.6242362525458249,0.5916496945010183,0.6558299389002035,491
boruta_rf,random_bank_rep_04,macro_f1,0.651174118048696,0.6231236845479828,0.6787499559911555,491
boruta_rf,random_bank_rep_05,macro_ovr_auroc,0.8282178759894618,0.8080520437447795,0.847131364516489,491
boruta_rf,random_bank_rep_05,macro_auprc,0.6529631057765624,0.6294238255377432,0.685342688429828,491
boruta_rf,random_bank_rep_05,balanced_accuracy,0.6554394404584039,0.6275252091987238,0.6820053250584224,491
boruta_rf,random_bank_rep_05,accuracy,0.6272912423625254,0.594704684317719,0.6578411405295316,491
boruta_rf,random_bank_rep_05,macro_f1,0.6510875381952003,0.6228721113069272,0.677961379398478,491
