center,branch,cap,run_id,seed,rfecv_target,run_best_feature_count,run_best_absolute_target_deviation,base_development_cv_balanced_accuracy,raw_untruncated_objective,diagnostic_legacy_truncated_run_best_fitness,diagnostic_zero_legacy_run_best,diagnostic_all_zero_legacy_fitness_generations,actual_uniform_sampling_fallback_generations,mean_population_unique_masks,minimum_population_unique_masks,final_population_unique_masks,stable_feature_set_identifier,runtime_seconds,history_generations,python_version,numpy_version,pandas_version,scikit_learn_version,backend,objective_mode,held_out_inputs_used
mayo,boruta_rf,reference,2,43,24,24,0,0.7247071702244117,0.7247071702244117,0.7247071702244117,False,0,0,50.0,50,50,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,1565.7385975419993,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,boruta_rf,reference,3,44,24,25,1,0.7404269293924466,0.7254269293924466,0.7254269293924466,False,0,0,49.98,49,50,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,1558.1603443689992,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,boruta_rf,reference,4,45,24,24,0,0.7547126436781609,0.7547126436781609,0.7547126436781609,False,0,0,49.94,49,50,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,1568.3680671380007,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,boruta_rf,reference,5,46,24,24,0,0.7251943076081007,0.7251943076081007,0.7251943076081007,False,0,0,50.0,50,50,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,1553.3052801429985,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,low,1,42,10,27,17,0.6896278051450465,0.4346278051450465,0.4346278051450465,False,7,0,50.0,50,50,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,1519.2851486099999,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,low,2,43,10,26,16,0.6669348659003831,0.4269348659003831,0.4269348659003831,False,8,0,50.0,50,50,2389c8b130a91c35e3d42625fd8d7590c2eb5bbf1b55c2691df4a12a47bfd94e,1517.6680943280003,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,low,3,44,10,28,18,0.7070935960591133,0.43709359605911324,0.43709359605911324,False,7,0,50.0,50,50,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,1525.0989760780003,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,low,4,45,10,24,14,0.6778051450465243,0.4678051450465244,0.4678051450465244,False,7,0,49.98,49,50,72c2ffe76cc644ad3b3d18cab3d870d31903f44ccb2f27edbca07a1675f384cd,1525.8019332490003,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,low,5,46,10,28,18,0.7091461412151068,0.43914614121510676,0.43914614121510676,False,8,0,50.0,50,50,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,1521.9831499829997,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,reference,1,42,20,27,7,0.6896278051450465,0.5846278051450465,0.5846278051450465,False,5,0,50.0,50,50,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,1523.8860222410003,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,reference,2,43,20,26,6,0.6669348659003831,0.5769348659003831,0.5769348659003831,False,4,0,50.0,50,50,2389c8b130a91c35e3d42625fd8d7590c2eb5bbf1b55c2691df4a12a47bfd94e,1498.2496847019993,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,reference,3,44,20,28,8,0.7070935960591133,0.5870935960591133,0.5870935960591133,False,3,0,50.0,50,50,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,1495.8241846249985,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,reference,4,45,20,24,4,0.6778051450465243,0.6178051450465243,0.6178051450465243,False,3,0,49.98,49,50,72c2ffe76cc644ad3b3d18cab3d870d31903f44ccb2f27edbca07a1675f384cd,1491.9457804950016,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,svm_l1,reference,5,46,20,28,8,0.7091461412151068,0.5891461412151068,0.5891461412151068,False,4,0,50.0,50,50,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,1496.3742946500006,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,xgboost,low,1,42,10,19,9,0.6576464148877943,0.5226464148877943,0.5226464148877943,False,4,0,50.0,50,50,8465a35a34154c7c7f8b625829989cd43e2cfaa4f61b473f9af77244537b8cc9,1513.572322625001,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
