center,branch,cap,run_i,run_j,stable_mask_hash_i,stable_mask_hash_j,jaccard
mayo,boruta_rf,reference,4,4,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,1.0
mayo,boruta_rf,reference,4,2,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,0.23076923076923078
mayo,boruta_rf,reference,4,1,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,0.23076923076923078
mayo,boruta_rf,reference,4,5,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,0.17073170731707318
mayo,boruta_rf,reference,4,3,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,0.16666666666666666
mayo,boruta_rf,reference,2,4,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,0.23076923076923078
mayo,boruta_rf,reference,2,2,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,1.0
mayo,boruta_rf,reference,2,1,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,0.37142857142857144
mayo,boruta_rf,reference,2,5,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,0.23076923076923078
mayo,boruta_rf,reference,2,3,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,0.06521739130434782
mayo,boruta_rf,reference,1,4,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,0.23076923076923078
mayo,boruta_rf,reference,1,2,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,0.37142857142857144
mayo,boruta_rf,reference,1,1,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,1.0
mayo,boruta_rf,reference,1,5,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,0.2
mayo,boruta_rf,reference,1,3,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,0.11363636363636363
mayo,boruta_rf,reference,5,4,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,0.17073170731707318
mayo,boruta_rf,reference,5,2,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,0.23076923076923078
