outer_repeat,outer_fold,branch,method,n_features,model_seed,macro_ovr_auroc,macro_auprc,balanced_accuracy,accuracy,macro_f1
2,1,boruta_rf,legacy_top3_medoid,18,52120,0.8160727321875216,0.663120537355092,0.5935782108945526,0.5656565656565656,0.5812354312354312
2,1,boruta_rf,unrestricted_medoid,15,52120,0.8468759762240713,0.701661990983578,0.6629185407296351,0.6363636363636364,0.6557291666666666
2,1,boruta_rf,regret_constrained_medoid,18,52120,0.8160727321875216,0.663120537355092,0.5935782108945526,0.5656565656565656,0.5812354312354312
2,2,svm_l1,direct,79,52200,0.8212328692978847,0.6938778257478908,0.6348484848484849,0.6224489795918368,0.6028594771241831
2,2,svm_l1,rfecv_only,15,52200,0.8393209602574928,0.6883808760521869,0.6371212121212121,0.6224489795918368,0.6186813186813187
2,2,svm_l1,highest_locking_score,15,52200,0.8120341603700738,0.6487415880190603,0.6371212121212121,0.6122448979591837,0.628389154704944
2,2,svm_l1,legacy_top3_medoid,15,52200,0.8120341603700738,0.6487415880190603,0.6371212121212121,0.6122448979591837,0.628389154704944
2,2,svm_l1,unrestricted_medoid,15,52200,0.7848324727388195,0.628589671015234,0.6325757575757575,0.6122448979591837,0.6211601696676323
2,2,svm_l1,regret_constrained_medoid,15,52200,0.8120341603700738,0.6487415880190603,0.6371212121212121,0.6122448979591837,0.628389154704944
2,2,xgboost,direct,100,52210,0.8370024969870171,0.7113206802464742,0.6545454545454545,0.6428571428571429,0.6280292087947359
2,2,xgboost,rfecv_only,19,52210,0.8358161575266838,0.6956749945100504,0.6613636363636364,0.6428571428571429,0.6473516679399032
2,2,xgboost,highest_locking_score,19,52210,0.8173460311618206,0.6696970857819133,0.6530303030303031,0.6326530612244898,0.6413764510779436
2,2,xgboost,legacy_top3_medoid,20,52210,0.7909158565892312,0.6234971682233953,0.6029137529137529,0.6122448979591837,0.5964446400625978
