dataset,branch,center,cap,condition,selection_rule,selected_run,selected_feature_count,direct_feature_count,compression_ratio,development_locking_metric,best_saved_run_score,selected_development_score,development_cv_regret,mean_pairwise_jaccard,selected_medoid_mean_jaccard,nogueira_seed_agreement,heldout_metric,heldout_estimate,heldout_direct_estimate,heldout_delta,heldout_source,selection_used_heldout,status,note
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,legacy_top_three_medoid,1.0,19.0,70,0.7285714285714286,ROC AUROC,0.8487445887445887,0.8455627705627705,0.0031818181818181746,0.21753827410729687,0.23903285104364325,-0.03590909090909089,ROC AUROC,0.7021276595744681,0.6836879432624113,0.018439716312056764,archived Table_S19 variant=single_run; joined after locking,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,all_run_medoid,1.0,19.0,70,0.7285714285714286,ROC AUROC,0.8487445887445887,0.8455627705627705,0.0031818181818181746,0.21753827410729687,0.23903285104364325,-0.03590909090909089,ROC AUROC,0.7021276595744681,0.6836879432624113,0.018439716312056764,archived Table_S19 variant=single_run; joined after locking,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,regret_constrained_medoid_abs_0.01,5.0,21.0,70,0.7,ROC AUROC,0.8487445887445887,0.8474458874458876,0.0012987012987011326,0.21753827410729687,0.23612788223793912,-0.03590909090909089,,,,,,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,Direct,,70.0,70,0.0,ROC AUROC,0.8487445887445887,0.844978354978355,0.00376623376623364,,,,ROC AUROC,0.6836879432624113,0.6836879432624113,0.0,archived Table_S19 variant=direct; joined after locking,False,complete,Comparator rescored with the same development-only CV design.
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,RFECV-only,,20.0,70,0.7142857142857143,ROC AUROC,0.8487445887445887,0.8824458874458875,-0.03370129870129879,,,,ROC AUROC,0.6747044917257684,0.6836879432624113,-0.008983451536642928,archived Table_S19 variant=rfecv_only; joined after locking,False,complete,Comparator rescored with the same development-only CV design.
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,highest_development_cv_run,4.0,49.0,68,0.27941176470588236,macro OvR AUROC,0.8675020172112156,0.8675020172112156,0.0,0.587718335862909,0.5708817167577414,0.0013820053373999608,,,,,,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,fixed_run_1,1.0,49.0,68,0.27941176470588236,macro OvR AUROC,0.8675020172112156,0.8534488777651636,0.01405313944605191,0.587718335862909,0.5771057347670251,0.0013820053373999608,,,,,,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,legacy_top_three_medoid,5.0,48.0,68,0.2941176470588235,macro OvR AUROC,0.8675020172112156,0.8584349758935712,0.009067041317644353,0.587718335862909,0.6102655830323238,0.0013820053373999608,macro OvR AUROC,0.8373990782968349,0.795372060616021,0.04202701768081396,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,all_run_medoid,5.0,48.0,68,0.2941176470588235,macro OvR AUROC,0.8675020172112156,0.8584349758935712,0.009067041317644353,0.587718335862909,0.6102655830323238,0.0013820053373999608,macro OvR AUROC,0.8373990782968349,0.795372060616021,0.04202701768081396,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,5.0,48.0,68,0.2941176470588235,macro OvR AUROC,0.8675020172112156,0.8584349758935712,0.009067041317644353,0.587718335862909,0.6102655830323238,0.0013820053373999608,macro OvR AUROC,0.8373990782968349,0.795372060616021,0.04202701768081396,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,Direct,,68.0,68,0.0,macro OvR AUROC,0.8675020172112156,,,,,,macro OvR AUROC,0.795372060616021,0.795372060616021,0.0,archived budget_summary.json variant=direct; joined after locking,False,complete,Comparable development locking score was not saved for this comparator.
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,RFECV-only,,49.0,68,0.27941176470588236,macro OvR AUROC,0.8675020172112156,,,,,,macro OvR AUROC,0.7903452243997974,0.795372060616021,-0.005026836216223574,archived budget_summary.json variant=rfecv_only; joined after locking,False,complete,Comparable development locking score was not saved for this comparator.
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,highest_development_cv_run,1.0,14.0,68,0.7941176470588236,macro OvR AUROC,0.8475955399378805,0.8475955399378805,0.0,0.15514550264550261,0.175,-0.0825163398692812,,,,,,False,complete,
